sender_id,sender_id_link,date,user goal (if supported),user goal fullfilled,user goal (not supported) ,reason for failure,details on failure / comments
,https://website-demo.rasa.com/conversations/868aff2710dc45d9bd028e65d23395ff,12.11.2018,oos,no,how does rasa work,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/7bc429dc4ff540158e673e77a6164ba5,12.11.2018,oos,no,what color do you like,whatspossible,
,,12.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/f4a98a2b92f64953a035dead8b69bf45,12.11.2018,oos,no,chitchat,should say sooner that it cannot help,
,,12.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/fb464037aedc4dd18e4ebfa99d4aed07,12.11.2018,oos,no,can rasa store context of conv,whatspossible,
,,12.11.2018,oos,yes,django,,
,https://website-demo.rasa.com/conversations/7719845dcdbf4a21a8e7bae76e6ee880,12.11.2018,oos,no,weird stuff,should say earlier that it cannot help,
,,12.11.2018,-,,,,
,,12.11.2018,whatspossible,yes,,,
,,12.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/177be360dd904d9582b85b1827a3cdc9,12.11.2018,subscribe,no,,,
,https://website-demo.rasa.com/conversations/bd21b3f8f9d6470dab70ef28a470503e/1542003966.4481652,12.11.2018,rasa_help,no,,oos,
,,12.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/672b3a210fd34e8e99ac193121631026,12.11.2018,oos,no,weird stuff,whatspossible,
,,12.11.2018,oos,yes,romanian as language,,
,,12.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/1cd6fc893f394a40b9cf74ada0d4d73b,12.11.2018,whatspossible,no,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/9f56d2e9f53d40a89b06020cd742b9f2,12.11.2018,rasa_help,no,,sent same link two times,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/a58745f2c0c941eba32150a217c58315,12.11.2018,oos,no,?,started asking for the budget out ofnothin,
,https://website-demo.rasa.com/conversations/adaa469ce2e04b439c4d10e3c9431ce2,12.11.2018,rasa_help,no,,,
,,12.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/4ab84405774c4801b70045f8f7538de1,12.11.2018,oos,no,regex,weather,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,subscribe,yes,,,
,https://website-demo.rasa.com/conversations/cf8c4c4b2b2c44e8a7024e85eab32837,12.11.2018,oos,no,tutorial ,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,13.11.2018,,,,,
,,13.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/8f3fbb8beeed416dab6ab2cdae3fb22b,13.11.2018,oos,no,I want to talk to you,human handoff,
,,13.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/36b3a5990fac422d85979a6c6179100d,13.11.2018,,no,technical questions, asked too often to rephrase,
,,13.11.2018,,yes,weird stuff,,
,,13.11.2018,chitchat,yes,,,
,,13.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/fb6a8a841a534925a129894ee11a6485,13.11.2018,rasa_help,no,,entity extraction,
,,13.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/6a2ca107cc264662ab84cce73957d8b5,13.11.2018,oos,no,how old are you ,how doing,
,,13.11.2018,chitchat,yes,,,
,,13.11.2018,-,,,,
,,13.11.2018,chitchat,yes,,,
,,13.11.2018,oos,yes,restaurant,,
,,13.11.2018,-,,,,
,,13.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/0293e6b7054040f98af22d035bfc755d,13.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/ef1a8b666b9f430e8b60b3d67b6dfa7c,13.11.2018,rasa_help,no,component list,,
,,13.11.2018,-,,,,
,,13.11.2018,oos,yes,first time rasa,,
,,13.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/931ec5ea5a654913b5b705eb45b83b3d,13.11.2018,sales,no,,NLU,
,,13.11.2018,rasa_help,yes,,,
,,13.11.2018,rasa_help,yes,,,
,,13.11.2018,chitchat,yes,,,
,,13.11.2018,whatspossible,yes,,,
,,13.11.2018,sales,yes,,,
